chi_name,wind_name
国睿科技,600562.SH
ST山水,600234.SH
五矿稀土,000831.SZ
跨境通,002640.SZ
广联达,002410.SZ
誉衡药业,002437.SZ
桂林三金,002275.SZ
光力科技,300480.SZ
天津磁卡,600800.SH
尚荣医疗,002551.SZ
金银河,300619.SZ
国美通讯,600898.SH
国脉科技,002093.SZ
高澜股份,300499.SZ
金运激光,300220.SZ
歌尔股份,002241.SZ
国发股份,600538.SH
高鸿股份,000851.SZ
国科微,300672.SZ
金卡智能,300349.SZ
金杯电工,002533.SZ
浦东金桥,600639.SH
锦龙股份,000712.SZ
金刚玻璃,300093.SZ
金牌厨柜,603180.SH
金海环境,603311.SH
高乐股份,002348.SZ
金螳螂,002081.SZ
金太阳,300606.SZ
金风科技,002202.SZ
国恩股份,002768.SZ
共进股份,603118.SH
苏州固锝,002079.SZ
汇顶科技,603160.SH
顾地科技,002694.SZ
光莆股份,300632.SZ
高斯贝尔,002848.SZ
高新兴,300098.SZ
高升控股,000971.SZ
超声电子,000823.SZ
粤高速A,000429.SZ
国风塑业,000859.SZ
GQY视讯,300076.SZ
宏川智慧,002930.SZ
神农基因,300189.SZ
瀚蓝环境,600323.SH
广百股份,002187.SZ
远大控股,000626.SZ
广田集团,002482.SZ
宏辉果蔬,603336.SH
巨轮智能,002031.SZ
鹏辉能源,300438.SZ
*ST东南,002263.SZ
巨星科技,002444.SZ
大名城,600094.SH
文化长城,300089.SZ
长城汽车,601633.SH
格力电器,000651.SZ
绿城水务,601368.SH
青松股份,300132.SZ
格力地产,600185.SH
广电运通,002152.SZ
广日股份,600894.SH
有研新材,600206.SH
广泽股份,600882.SH
通用股份,601500.SH
辰安科技,300523.SZ
莫高股份,600543.SH
广深铁路,601333.SH
荣华实业,600311.SH
桂林旅游,000978.SZ
国泰君安,601211.SH
刚泰控股,600687.SH
冠福股份,002102.SZ
广博股份,002103.SZ
奥飞数据,300738.SZ
达安股份,300635.SZ
广弘控股,000529.SZ
国立科技,300716.SZ
广东鸿图,002101.SZ
粤传媒,002181.SZ
三雄极光,300625.SZ
广汇能源,600256.SH
广济药业,000952.SZ
威海广泰,002111.SZ
广西广电,600936.SH
广誉远,600771.SH
嘉诚国际,603535.SH
金逸影视,002905.SZ
广州港,601228.SH
广州酒家,603043.SH
冠农股份,600251.SH
古鳌科技,300551.SZ
硅宝科技,300019.SZ
高德红外,002414.SZ
桂发祥,002820.SZ
贵人鸟,603555.SH
粤桂股份,000833.SZ
贵州燃气,600903.SH
勘设股份,603458.SH
古井贡酒,000596.SZ
